Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.803181,0,0,0,0,1.03149,-2.91767,2.92474,-1.01667,0.4,0,0,0,-0.887121,2.47813,-2.47101,0.856425,1.5,0,0,0,6.40579,-18.1269,18.174,-6.31806,0,0,0,0,0,0,0,0
0.703232,0.02,0.0217689,-0.00393182,-0.00811916,1.36024,-4.70289,5.64199,-2.31331,0.380423,-0.0283243,-0.00713226,0.00426097,-4.44013,15.0211,-17.7164,7.17612,1.62361,0.132726,-0.0273026,-0.0514503,7.4342,-25.8338,31.1028,-12.7837,0,0,0,0,0,0,0,0
0.736888,0.04,0.00916757,0.00221786,0.00195148,1.30475,-4.22434,4.75317,-1.83611,0.323607,-0.0467977,-0.00760988,-0.000310694,-5.55647,17.9939,-20.2754,7.842,1.73511,0.0419556,0.00898121,0.0117941,5.86705,-19.0492,21.4572,-8.29356,0,0,0,0,0,0,0,0
0.704364,0.06,0.0147325,-0.000941668,-0.000965068,1.49944,-5.12243,6.07364,-2.46763,0.235114,-0.0669671,-0.00460073,0.00082622,-8.6263,29.3242,-34.6446,14.0397,1.82361,0.0587503,-0.0127153,-0.00639627,4.05797,-14.0635,16.8296,-6.88047,0,0,0,0,0,0,0,0
0.703831,0.08,0.0123304,0.000408514,0.000401581,1.55816,-5.30736,6.27814,-2.54685,0.123607,-0.0777395,-0.00274787,0.000400594,-9.58373,32.655,-38.6434,15.6812,1.88042,0.0208045,-0.0054324,0.00234381,1.51661,-5.30343,6.36266,-2.60445,0,0,0,0,0,0,0,0
0.718194,0.1,0.013365,-0.000175661,-0.000174263,1.39137,-4.65179,5.39976,-2.14879,2.44929e-17,-0.0821318,6.41772e-05,0.000638461,-8.6507,28.9368,-33.5944,13.3693,1.9,0.00195506,-0.00951169,-0.0010941,-1.50399,4.86027,-5.51965,2.16366,0,0,0,0,0,0,0,0
0.718194,0.12,0.0129195,7.56623e-05,7.48942e-05,1.40049,-4.67909,5.42828,-2.15922,-0.123607,-0.0779547,0.00257081,0.000519207,-7.77814,26.0653,-30.2932,12.0642,1.88042,-0.0261867,-0.0075222,0.000647814,-4.04899,13.401,-15.4601,6.12673,0,0,0,0,0,0,0,0
0.703831,0.14,0.0131113,-3.25758e-05,-3.22615e-05,1.54085,-5.25464,6.22193,-2.52588,-0.235114,-0.066375,0.00495447,0.000476729,-6.7748,23.2248,-27.5844,11.2209,1.82361,-0.0478465,-0.00700739,0.000135244,-6.92441,23.4914,-27.726,11.2312,0,0,0,0,0,0,0,0
0.718194,0.16,0.0130287,1.40266e-05,1.38896e-05,1.39826,-4.67239,5.42128,-2.15666,-0.323607,-0.0481999,0.00679774,0.000332722,-3.90195,13.1782,-15.3869,6.14664,1.73511,-0.06651,-0.0048545,0.000552145,-7.85774,26.1929,-30.3451,12.0594,0,0,0,0,0,0,0,0
0.703831,0.18,0.0130643,-6.03947e-06,-5.98066e-06,1.54189,-5.25781,6.22532,-2.52714,-0.380423,-0.0253489,0.00799945,0.000179776,-1.41587,4.99659,-6.03558,2.48243,1.62361,-0.0779365,-0.00263638,0.000509019,-9.57936,32.6417,-38.6292,15.6759,0,0,0,0,0,0,0,0
0.718194,0.2,0.013049,2.60045e-06,2.57511e-06,1.39784,-4.67115,5.41999,-2.15619,-0.4,1.6841e-06,0.00840785,-9.41051e-07,1.46391,-4.74038,5.39439,-2.11787,1.5,-0.0820469,1.63269e-05,0.000590864,-8.65244,28.942,-33.5998,13.3713,0,0,0,0,0,0,0,0
0.703831,0.22,0.0130556,-1.11969e-06,-1.10878e-06,1.54209,-5.2584,6.22595,-2.52738,-0.380423,0.0253442,0.00799766,-0.000177186,4.48421,-15.1411,17.8198,-7.20462,1.37639,-0.0779913,0.00259143,0.000539607,-8.58122,29.3419,-34.7964,14.1402,0,0,0,0,0,0,0,0
0.718194,0.24,0.0130527,4.82111e-07,4.77414e-07,1.39776,-4.67092,5.41975,-2.1561,-0.323607,0.0482093,0.00680269,-0.000337972,6.27048,-20.8479,24.1148,-9.57327,1.26489,-0.0663593,0.0049456,0.000467936,-6.13985,20.6293,-24.0132,9.57315,0,0,0,0,0,0,0,0
0.703831,0.26,0.0130539,-2.07585e-07,-2.05563e-07,1.54212,-5.25851,6.22606,-2.52742,-0.235114,0.0663538,0.00494265,-0.000464864,8.67155,-29.4957,34.8688,-14.1398,1.17639,-0.0482066,0.00680156,0.000336507,-4.30643,14.8379,-17.6762,7.20466,0,0,0,0,0,0,0,0
